Event	ID	Name			Wwise Object Path	Notes
	109215266	sfx_turbine			\SFX\Ambient\CantinaSewers\sfx_turbine	
	128376010	SmallDoorClose			\SFX\Ambient\SpaceStation\SmallDoorClose	
	189709005	WindAmbient			\SFX\Ambient\SpaceshipEscape\WindAmbient	
	240894527	PowerGenerator			\SFX\Ambient\SpaceStation\PowerGenerator	
	611136124	sfx_bigDoor_close			\SFX\Ambient\CantinaSewers\sfx_bigDoor_close	
	891848566	ElevatorEnd			\SFX\Ambient\SpaceStation\ElevatorEnd	
	1137833821	ElevatorStart			\SFX\Ambient\SpaceStation\ElevatorStart	
	1145768666	BigTurbine			\SFX\Ambient\SpaceshipEscape\BigTurbine	
	1827811565	HackingMachine			\SFX\Ambient\SpaceStation\HackingMachine	
	1845492013	SpaceStationAmbientStop			\SFX\Ambient\SpaceStation\SpaceStationAmbientStop	
	2073224732	sfx_ambient_crowd_talking_01			\SFX\Ambient\CantinaSewers\sfx_ambient_crowd_talking_01	
	2455846751	cantina_music			\SFX\Ambient\CantinaSewers\cantina_music	
	2504879228	FireThrowerBurstStop			\SFX\Ambient\SpaceshipEscape\FireThrowerBurstStop	
	3108491752	sfx_bigDoor_open			\SFX\Ambient\CantinaSewers\sfx_bigDoor_open	
	3144899822	SmallDoorOpen			\SFX\Ambient\SpaceStation\SmallDoorOpen	
	3447410370	sfx_water_bubbles			\SFX\Ambient\CantinaSewers\sfx_water_bubbles	
	3476965308	sfx_sewers_ambient_stop			\SFX\Ambient\CantinaSewers\sfx_sewers_ambient_stop	
	3620056585	sfx_sewers_ambient			\SFX\Ambient\CantinaSewers\sfx_sewers_ambient	
	3681248044	BigFireThrowerBurst			\SFX\Ambient\SpaceshipEscape\BigFireThrowerBurst	
	3718347529	sewers_ambient			\SFX\Ambient\CantinaSewers\sewers_ambient	
	3747747529	ambient_cantina_stop			\SFX\Ambient\CantinaSewers\ambient_cantina_stop	
	3968187189	SpaceStationAmbient			\SFX\Ambient\SpaceStation\SpaceStationAmbient	
	4023591154	sfx_water_falling			\SFX\Ambient\CantinaSewers\sfx_water_falling	
	4120404276	FireThrowerBurst			\SFX\Ambient\SpaceshipEscape\FireThrowerBurst	
	4136005308	sewers_ambient_stop			\SFX\Ambient\CantinaSewers\sewers_ambient_stop	

Switch Group	ID	Name			Wwise Object Path	Notes
	89505537	Gameplay			\Default Work Unit\Gameplay	

Switch	ID	Name	Switch Group			Notes
	2582085496	Exploration	Gameplay			
	2764240573	Combat	Gameplay			
	3604647259	MainMenu	Gameplay			

State Group	ID	Name			Wwise Object Path	Notes
	444815956	PlayerLife			\Default Work Unit\PlayerLife	
	832057375	Zone			\Default Work Unit\Zone	

State	ID	Name	State Group			Notes
	655265632	Alive	PlayerLife			
	748895195	None	PlayerLife			
	2791675679	Defeated	PlayerLife			
	58265312	BossIntro	Zone			
	425131515	SpaceStation	Zone			
	554650843	Spaceship	Zone			
	706698089	SecondCutscene	Zone			
	748895195	None	Zone			
	985442775	LoadingScreen	Zone			
	1560169506	Boss	Zone			
	2192450996	Hangar	Zone			
	3390261832	Sewers	Zone			
	3434002879	Cantina	Zone			
	4040034477	FirstCutscene	Zone			

Source plug-ins	ID	Name	Type		Wwise Object Path	Notes
	127683097	Silence	Wwise Silence		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Ambient\SpaceshipEscape\Turbine\Silence\Silence	
	762925611	Silence	Wwise Silence		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Ambient\CantinaSewers\Bubbles\1s_silence\Silence	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	5640303	as_ab_so_fire_burst_rr01	C:\Master Uri\Engine\Game\WwiseProject\.cache\Windows\SFX\Bounces\as_ab_so_fire_burst_rr01_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Ambient\SpaceshipEscape\FireThrower\FireThrowerBurst\as_ab_so_fire_burst_rr01		120946
	10014200	as_ab_ao_big_mechanical_door_open_rr01	C:\Master Uri\Engine\Game\WwiseProject\.cache\Windows\SFX\Bounces\as_ab_ao_big_mechanical_door_open_rr01_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Ambient\CantinaSewers\BigMechanicalDoor\BigDoorOpen\BigMechanicalDoorOpen\as_ab_ao_big_mechanical_door_open_rr01		262238
	14628986	as_ab_ao_turbine_rr_01	C:\Master Uri\Engine\Game\WwiseProject\.cache\Windows\SFX\Deprecated\as_ab_ao_turbine_rr_01_D207DBC2.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Ambient\SpaceshipEscape\Turbine\Turbine_01\as_ab_ao_turbine_rr_01		34726
	27018474	as_ab_ao_small_automatic_door_open_rr_02	C:\Master Uri\Engine\Game\WwiseProject\.cache\Windows\SFX\Bounces\as_ab_ao_small_automatic_door_rr_02_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Ambient\SpaceStation\SmallAutomaticDoor\SmallAutomaticDoorClose\as_ab_ao_small_automatic_door_open_rr_02		123396
	28013945	as_ab_ao_bubbles_rr07	C:\Master Uri\Engine\Game\WwiseProject\.cache\Windows\SFX\Bounces\as_ab_ao_bubbles_rr07_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Ambient\CantinaSewers\Bubbles\Bubbles\as_ab_ao_bubbles_rr07		128854
	41607935	as_ab_sl_hacking	C:\Master Uri\Engine\Game\WwiseProject\.cache\Windows\SFX\as_ab_sl_hacking_D79FB2B7.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Ambient\SpaceStation\as_ab_sl_hacking		3072096
	43591575	as_ab_ao_turbine_rr_04	C:\Master Uri\Engine\Game\WwiseProject\.cache\Windows\SFX\Deprecated\as_ab_ao_turbine_rr_04_FFC87E95.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Ambient\SpaceshipEscape\Turbine\Turbine_01\as_ab_ao_turbine_rr_04		34998
	71245673	as_ab_ao_turbine_rr_02	C:\Master Uri\Engine\Game\WwiseProject\.cache\Windows\SFX\Deprecated\as_ab_ao_turbine_rr_02_53F4D5C9.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Ambient\SpaceshipEscape\Turbine\Turbine_01\as_ab_ao_turbine_rr_02		34108
	86435111	as_ab_ao_turbine_rr_05	C:\Master Uri\Engine\Game\WwiseProject\.cache\Windows\SFX\Deprecated\as_ab_ao_turbine_rr_05_A8A7EA13.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Ambient\SpaceshipEscape\Turbine\Turbine_01\as_ab_ao_turbine_rr_05		32324
	91871275	as_ab_ao_bubbles_rr03	C:\Master Uri\Engine\Game\WwiseProject\.cache\Windows\SFX\Bounces\as_ab_ao_bubbles_rr03_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Ambient\CantinaSewers\Bubbles\Bubbles\as_ab_ao_bubbles_rr03		244070
